BAJAJ-AUTO,BAJAJ-FINSV,BAJAJ-FINANCE
978.2,376.35,153.7
984.85,358.05,146.35
961.4,348.4,146.05
989.6,344.35,148.95
973.15,342.95,149.1
1000.85,340.5,145.65
1015.3,327.2,140.05
1019.3,336.85,148.5
1068.1,354.45,178.2
1090.1,370.15,169
1147.3,366.95,180.15
1153.6,362.35,184.25
1185.2,357.5,182.3
1189.85,350.05,183.45
1165.55,374.25,177.5
1171.05,378.55,176.4
1187.8,375,189.85
1199.95,365.1,195.5
1222.2,350.45,193.5
1204.55,347.75,191.9
1218.35,339.25,190.15
1221.75,336.45,211.05
1301.65,337.25,212.2
1321.85,326.9,213.55
1286.65,324.45,210.95
1261.3,310.45,208.8
1175.8,301.85,200.25
1072.85,285.95,193.75
1099.05,284.7,200.9
1092.1,291.65,214
1130.75,291.9,203
1122.4,284.4,192.9
1113.1,285.35,202.65
1141.2,272.2,197.95
1099.65,265.85,200.15
1107.45,267.85,202.15
1127.75,271.65,199.85
1128.25,277.45,201.2
1134.6,279.75,203.85
1146.6,285.4,200.05
1155.25,289.95,200.1
1207.35,279.3,204.05
1215.7,282.85,222.5
1224.75,281.75,218
1176.2,276.85,223.85
1212,272.3,226.95
1234.45,276.55,227.4
1274.6,268.2,227.2
1260.95,266.6,218.9
1235.05,261.6,206.5
1235.6,254.2,207.15
1275.5,253,209.8
1282.35,254.85,220.55
1366.6,257.4,217.75
1387.45,260.35,231.85
1413.7,275.5,227.35
1457.6,295.45,226.6
1485.95,292.8,219.8
1475.25,285.7,222.7
1459.75,284.05,222
1447.25,278.3,230.75
1434.6,278.45,239.2
1494.75,291.15,286.4
1509.75,301.5,279.75
1477.65,298.55,269.5
1502,305.45,279.4
1531.7,326.75,277.45
1546.2,322.25,276.9
1589.6,328.55,284.65
1636.6,344.9,325.4
1604.7,338.7,307.5
1555.65,321.95,296.35
1478,332.1,298.4
1492.5,330,286
1501.6,328.35,281.85
1473.1,328.25,278.15
1453.8,318.95,265.6
1471.2,308.3,273
1464,300.6,272.75
1447.75,310.65,262.3
1431,316.9,260.8
1398.05,311.5,257.5
1388.15,294.55,261.35
1411.1,302.7,260.8
1442.85,302,257.8
1465.15,298.65,259.9
1455.6,301.35,262.65
1469.6,316.4,263.05
1456.15,312,264.95
1472.65,311.05,262.5
1456.65,313.05,270.1
1462.4,320.35,280.2
1508.95,346.5,300.25
1519.4,334.6,299.65
1501.25,327.8,288.75
1504.6,326.95,296.7
1501.1,330.2,296
1490.9,329.3,288.05
1506.55,327.25,284.5
1542.55,319.25,291.2
1553,312.65,284
1577.6,311.1,288.35
1570.45,321.45,293.45
1637.9,331.15,293.85
1690,331.8,302.45
1686.3,332.5,308.15
1646.55,335.4,309.4
1623.7,337.55,306.9
1646.05,328.8,304.8
1674.65,326.7,309.15
1640.8,328.7,305.8
1725.25,326.65,301.4
1783.85,325.25,296.85
1742.25,325.1,299.9
1730.4,340.9,300.5
1729.15,326.55,307.35
1704.8,325.15,311.8
1659.6,325.2,314.9
1697.25,325.05,318.3
1706,328.65,320.1
1704.9,330.1,324.9
1683.2,335.65,329.85
1699.4,345.6,329.95
